Date,Price
2022-04-04,32000.0
2022-04-05,32000.0
2022-04-06,29000.0
2022-04-07,30000.0
2022-04-08,25000.0
2022-04-09,20000.0
2022-04-10,20000.0
2022-04-11,18000.0
2022-04-12,18000.0
2022-04-13,16000.0
2022-04-14,16000.0
2022-04-15,16000.0
2022-04-16,14000.0
2022-04-17,14000.0
2022-04-18,15000.0
2022-04-19,15000.0
2022-04-20,17000.0
2022-04-21,17000.0
2022-04-22,16000.0
2022-04-23,17000.0
2022-04-24,17000.0
2022-04-25,20000.0
2022-04-26,20000.0
2022-04-27,26000.0
2022-04-28,26000.0
2022-04-29,25000.0
2022-04-30,25000.0
2022-05-01,26000.0
2022-05-02,27000.0
2022-05-03,27000.0
2022-05-04,27000.0
2022-05-05,28000.0
2022-05-06,28000.0
2022-05-07,28000.0
2022-05-08,25000.0
2022-05-09,20000.0
2022-05-10,25000.0
2022-05-11,21000.0
2022-05-12,21000.0
2022-05-13,19000.0
2022-05-14,20000.0
2022-05-15,20000.0
2022-05-16,25000.0
2022-05-17,25000.0
2022-05-18,30000.0
2022-05-19,32000.0
2022-05-20,37000.0
2022-05-21,38000.0
2022-05-22,33000.0
2022-05-23,33000.0
2022-05-24,35000.0
2022-05-25,47000.0
2022-05-26,46000.0
2022-05-27,46000.0
2022-05-28,46000.0
2022-05-29,48000.0
2022-05-30,49000.0
2022-05-31,50000.0
2022-06-01,50000.0
2022-06-02,53000.0
2022-06-03,55000.0
2022-06-04,60000.0
2022-06-05,62000.0
2022-06-06,72000.0
2022-06-07,72000.0
2022-06-08,80000.0
2022-06-09,79722.22222222222
2022-06-10,79444.44444444444
2022-06-11,79166.66666666667
2022-06-12,78888.88888888889
2022-06-13,78611.11111111111
2022-06-14,78333.33333333333
2022-06-15,78055.55555555556
2022-06-16,77777.77777777778
2022-06-17,77500.0
2022-06-18,77222.22222222222
2022-06-19,76944.44444444444
2022-06-20,76666.66666666667
2022-06-21,76388.88888888889
2022-06-22,76111.11111111111
2022-06-23,75833.33333333333
2022-06-24,75555.55555555556
2022-06-25,75277.77777777778
2022-06-26,75000.0
2022-06-27,74722.22222222222
2022-06-28,74444.44444444444
2022-06-29,74166.66666666667
