Date,Price
2022-04-04,26000.0
2022-04-05,25000.0
2022-04-06,27000.0
2022-04-07,27000.0
2022-04-08,27000.0
2022-04-09,18000.0
2022-04-10,18000.0
2022-04-11,17000.0
2022-04-12,17000.0
2022-04-13,15000.0
2022-04-14,15000.0
2022-04-15,15000.0
2022-04-16,14000.0
2022-04-17,14000.0
2022-04-18,14000.0
2022-04-19,14000.0
2022-04-20,16000.0
2022-04-21,16000.0
2022-04-22,16000.0
2022-04-23,17000.0
2022-04-24,17000.0
2022-04-25,23000.0
2022-04-26,23000.0
2022-04-27,25000.0
2022-04-28,25000.0
2022-04-29,27000.0
2022-04-30,27000.0
2022-05-01,30000.0
2022-05-02,30000.0
2022-05-03,30000.0
2022-05-04,30000.0
2022-05-05,33000.0
2022-05-06,33000.0
2022-05-07,30000.0
2022-05-08,26000.0
2022-05-09,17000.0
2022-05-10,24000.0
2022-05-11,18000.0
2022-05-12,18000.0
2022-05-13,18000.0
2022-05-14,18000.0
2022-05-15,18000.0
2022-05-16,23000.0
2022-05-17,23000.0
2022-05-18,28000.0
2022-05-19,28000.0
2022-05-20,32000.0
2022-05-21,34000.0
2022-05-22,30000.0
2022-05-23,30000.0
2022-05-24,31000.0
2022-05-25,40000.0
2022-05-26,40000.0
2022-05-27,40000.0
2022-05-28,42000.0
2022-05-29,42000.0
2022-05-30,43000.0
2022-05-31,40000.0
2022-06-01,40000.0
2022-06-02,42000.0
2022-06-03,46000.0
2022-06-04,40000.0
2022-06-05,43000.0
2022-06-06,49000.0
2022-06-07,49000.0
2022-06-08,63000.0
2022-06-09,63250.0
2022-06-10,63500.0
2022-06-11,63750.0
2022-06-12,64000.0
2022-06-13,64250.0
2022-06-14,64500.0
2022-06-15,64750.0
2022-06-16,65000.0
2022-06-17,65250.0
2022-06-18,65500.0
2022-06-19,65750.0
2022-06-20,66000.0
2022-06-21,66250.0
2022-06-22,66500.0
2022-06-23,66750.0
2022-06-24,67000.0
2022-06-25,67250.0
2022-06-26,67500.0
2022-06-27,67750.0
2022-06-28,68000.0
2022-06-29,68250.0
2022-06-30,68500.0
2022-07-01,68750.0
2022-07-02,69000.0
2022-07-03,69250.0
2022-07-04,69500.0
2022-07-05,69750.0
2022-07-06,70000.0
2022-07-07,70250.0
2022-07-08,70500.0
2022-07-09,70750.0
